id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109015/30_939_CCS,+,1,1,1,30,939,967,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109105/879_62_CCS,-,1,1,1,30,847,880,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109193/1512_58_CCS,-,1,1,1,31,1485,1514,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109209/31_972_CCS,+,1,1,1,31,972,1010,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109586/31_914_CCS,+,1,1,1,31,914,948,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109701/30_944_CCS,+,1,1,1,30,944,972,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109749/31_1113_CCS,+,1,1,1,31,1113,1140,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109895/1341_55_CCS,-,1,1,1,30,1316,1342,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109901/1061_60_CCS,-,1,1,1,30,1031,1062,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/109916/31_964_CCS,+,1,1,1,31,964,993,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110030/31_1117_CCS,+,1,1,1,31,1117,1147,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110043/1585_58_CCS,-,1,1,1,30,1557,1586,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110202/1367_61_CCS,-,1,1,1,31,1337,1369,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110638/1353_59_CCS,-,1,1,1,29,1323,1353,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110659/984_58_CCS,-,1,1,1,31,957,987,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110880/31_977_CCS,+,1,1,1,31,977,1031,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110949/31_1330_CCS,+,1,1,1,31,1330,1356,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/110950/31_978_CCS,+,1,1,1,31,978,1036,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111071/944_59_CCS,-,1,1,1,31,916,946,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111462/1005_58_CCS,-,1,1,1,31,978,1007,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111576/1136_56_CCS,-,1,1,1,30,1110,1138,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111612/1142_58_CCS,-,1,1,1,31,1115,1144,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111636/955_61_CCS,-,1,1,1,31,925,957,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111647/1008_59_CCS,-,1,1,1,31,980,1010,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111694/1141_60_CCS,-,1,1,1,31,1112,1143,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111744/1389_49_CCS,-,1,1,1,25,1365,1387,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111745/1235_62_CCS,-,1,1,1,30,1203,1236,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111763/31_1338_CCS,+,1,1,1,31,1338,1370,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111775/1069_57_CCS,-,1,1,1,26,1038,1066,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/111927/1633_55_CCS,-,1,1,1,31,1609,1636,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112142/30_1144_CCS,+,1,1,1,30,1144,1177,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112148/1025_61_CCS,-,1,1,1,31,995,1027,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112185/31_1323_CCS,+,1,1,1,31,1323,1357,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112250/1516_61_CCS,-,1,1,1,31,1486,1518,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112272/30_939_CCS,+,1,1,1,30,939,967,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112392/30_1444_CCS,+,1,1,1,30,1444,1469,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112432/30_1100_CCS,+,1,1,1,30,1100,1128,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112499/31_916_CCS,+,1,1,1,31,916,946,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112577/1319_61_CCS,-,1,1,1,30,1288,1320,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112578/1002_59_CCS,-,1,1,1,30,973,1003,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112803/30_976_CCS,+,1,1,1,30,976,1004,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112870/1131_56_CCS,-,1,1,1,30,1105,1135,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112885/1617_57_CCS,-,1,1,1,32,1592,1619,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/112904/31_1113_CCS,+,1,1,1,31,1113,1141,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113058/28_1062_CCS,+,1,1,1,28,1062,1084,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113077/935_57_CCS,-,1,1,1,31,909,937,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113138/30_1334_CCS,+,1,1,1,30,1334,1365,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113250/1613_59_CCS,-,1,1,1,31,1585,1617,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113571/1620_61_CCS,-,1,1,1,30,1589,1621,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113605/1007_59_CCS,-,1,1,1,31,979,1009,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113800/28_941_CCS,+,1,1,1,28,941,970,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/113986/30_1617_CCS,+,1,1,1,30,1617,1647,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114058/1636_62_CCS,-,1,1,1,31,1605,1639,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114089/31_1593_CCS,+,1,1,1,31,1593,1627,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114127/954_57_CCS,-,1,1,1,28,925,953,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114147/30_1108_CCS,+,1,1,1,30,1108,1131,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114275/1138_59_CCS,-,1,1,1,31,1110,1140,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114624/1022_57_CCS,-,1,1,1,30,995,1023,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114748/1620_64_CCS,-,1,1,1,30,1586,1621,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114798/31_913_CCS,+,1,1,1,31,913,946,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114877/31_1114_CCS,+,1,1,1,31,1114,1150,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114889/1051_59_CCS,-,1,1,1,28,1020,1050,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114906/1045_97_CCS,-,1,1,1,30,978,1047,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114918/1142_60_CCS,-,1,1,1,31,1113,1144,1,0
